NHANES Code,Total N,Valid N,Missing N,Cases N,Cases %,Controls N,Controls %,Prevalence,95% CI Lower,95% CI Upper,Case Definition,Control Definition
RIAGENDR,9847,9847,0,4941,50.2,4906,49.8,0.502,0.492,0.512,1 (Yes),2 (No)
EDUCATION_LESS9,9847,9839,8,1162,11.8,8677,88.2,0.118,0.112,0.124,1 (Yes/Positive),0 (No/Negative)
EDUCATION_9_11,9847,9838,9,2153,21.9,7685,78.1,0.219,0.211,0.227,1 (Yes/Positive),0 (No/Negative)
EDUCATION_AA,9847,9838,9,2452,24.9,7386,75.1,0.249,0.241,0.258,1 (Yes/Positive),0 (No/Negative)
EDUCATION_COLLEGEGRAD,9847,9838,9,1955,19.9,7883,80.1,0.199,0.191,0.207,1 (Yes/Positive),0 (No/Negative)
ETHNICITY_MEXICAN,9847,9847,0,1710,17.4,8137,82.6,0.174,0.166,0.181,1 (Yes/Positive),0 (No/Negative)
ETHNICITY_OTHERHISPANIC,9847,9847,0,1004,10.2,8843,89.8,0.102,0.096,0.108,1 (Yes/Positive),0 (No/Negative)
ETHNICITY_OTHER,9847,9847,0,1198,12.2,8649,87.8,0.122,0.115,0.128,1 (Yes/Positive),0 (No/Negative)
ETHNICITY_NONHISPANICBLACK,9847,9847,0,2391,24.3,7456,75.7,0.243,0.234,0.251,1 (Yes/Positive),0 (No/Negative)
BORN_INUSA,9847,9842,5,7067,71.8,2775,28.2,0.718,0.709,0.727,1 (Yes/Positive),0 (No/Negative)
TOOTH_DECAY_OHAROCDT,9847,8500,1347,2456,28.9,6044,71.1,0.289,0.279,0.299,1 (Yes/Positive),0 (No/Negative)
GUM_DISEASE_OHAROCGP,9847,8463,1384,2659,31.4,5804,68.6,0.314,0.304,0.324,1 (Yes/Positive),0 (No/Negative)
ORAL_HYGIENE_OHAROCOH,9847,8457,1390,2874,34,5583,66,0.34,0.33,0.35,1 (Yes/Positive),0 (No/Negative)
DENTURE_OHAROCDE,9847,8444,1403,503,6,7941,94,0.06,0.055,0.065,1 (Yes/Positive),0 (No/Negative)
DS2AN,9847,8312,1535,168,2,8144,98,0.02,0.017,0.023,1 (Yes),2 (No)
DS2DS,9847,8312,1535,2746,33,5566,67,0.33,0.32,0.34,1 (Yes),2 (No)
LBDHBG,9847,9290,557,58,0.6,9232,99.4,0.006,0.005,0.008,1 (Yes),2 (No)
LBDHD,9847,9290,557,4,0,9286,100,0,0,0.001,1 (Yes),2 (No)
LBDHEG,9847,9291,556,526,5.7,8765,94.3,0.057,0.052,0.061,1 (Yes),2 (No)
LBDHEM,9847,9291,556,91,1,9200,99,0.01,0.008,0.012,1 (Yes),2 (No)
LBDVWCGP,9847,3212,6635,3142,97.8,70,2.2,0.978,0.973,0.983,1 (Yes),2 (No)
LBX06,9847,3359,6488,659,19.6,2700,80.4,0.196,0.183,0.21,1 (Yes),2 (No)
LBX11,9847,3359,6488,270,8,3089,92,0.08,0.071,0.09,1 (Yes),2 (No)
LBX16,9847,3359,6488,483,14.4,2876,85.6,0.144,0.132,0.156,1 (Yes),2 (No)
LBX18,9847,3359,6488,199,5.9,3160,94.1,0.059,0.051,0.067,1 (Yes),2 (No)
LBXHBC,9847,9291,556,570,6.1,8721,93.9,0.061,0.056,0.066,1 (Yes),2 (No)
LBXHBS,9847,9291,556,2840,30.6,6451,69.4,0.306,0.296,0.315,1 (Yes),2 (No)
URXUCL,9847,3885,5962,94,2.4,3791,97.6,0.024,0.019,0.029,1 (Yes),2 (No)
