"k","mean_jaccard","sd_jaccard","n_resamples"
2,0.901295067525268,0.0282958708342928,100
3,0.889285161489084,0.00934432031624231,100
4,0.825970197422474,0.0941749167019813,100
5,0.810426660683549,0.121674743992219,100
6,0.879418662313852,0.138778025096648,100
7,0.854344996445577,0.112748014388428,100
8,0.848933022501656,0.179518133478856,100
9,0.899280165998181,0.137333574322041,100
10,0.876892570477555,0.157561561366067,100
11,0.845623652785687,0.143306601019643,100
12,0.857487116121245,0.151176130208858,100
13,0.860215906016289,0.130855291388064,100
14,0.864372390686607,0.0904322336662468,100
15,0.875708099189289,0.102208109804988,100
