"k","W","W_prime","W_dprime"
2,651.515315760975,NA,NA
3,472.884716539811,-178.630599221164,NA
4,428.445181747711,-44.4395347920996,134.191064429065
5,384.983731704229,-43.4614500434825,0.978084748617107
6,345.394646736745,-39.589084967484,3.87236507599846
7,312.145908008364,-33.2487387283806,6.34034623910344
8,289.024590435585,-23.121317572779,10.1274211556016
9,266.548686966019,-22.4759034695656,0.645414103213398
10,246.535333444438,-20.0133535215815,2.46254994798409
11,232.466503066353,-14.068830378085,5.94452314349655
12,219.514058075299,-12.9524449910538,1.11638538703119
13,207.024255134808,-12.4898029404916,0.462642050562152
14,197.366833075011,-9.65742205979672,2.8323808806949
15,188.710424374125,-8.65640870088561,1.00101335891111
