"AGE_SQUARED","BORN_INUSA","EDUCATION_9_11","EDUCATION_AA","EDUCATION_COLLEGEGRAD","EDUCATION_LESS9","ETHNICITY_MEXICAN","ETHNICITY_NONHISPANICBLACK","ETHNICITY_OTHER","ETHNICITY_OTHERHISPANIC","INDFMPIR","RIAGENDR","RIDAGEYR","var_name"
219,219,219,219,219,219,219,219,219,219,219,219,219,"AGE_SQUARED"
219,219,219,219,219,219,219,219,219,219,219,219,219,"BORN_INUSA"
219,219,219,219,219,219,219,219,219,219,219,219,219,"EDUCATION_9_11"
219,219,219,219,219,219,219,219,219,219,219,219,219,"EDUCATION_AA"
219,219,219,219,219,219,219,219,219,219,219,219,219,"EDUCATION_COLLEGEGRAD"
219,219,219,219,219,219,219,219,219,219,219,219,219,"EDUCATION_LESS9"
219,219,219,219,219,219,219,219,219,219,219,219,219,"ETHNICITY_MEXICAN"
219,219,219,219,219,219,219,219,219,219,219,219,219,"ETHNICITY_NONHISPANICBLACK"
219,219,219,219,219,219,219,219,219,219,219,219,219,"ETHNICITY_OTHER"
219,219,219,219,219,219,219,219,219,219,219,219,219,"ETHNICITY_OTHERHISPANIC"
219,219,219,219,219,219,219,219,219,219,219,219,219,"INDFMPIR"
219,219,219,219,219,219,219,219,219,219,219,219,219,"RIAGENDR"
219,219,219,219,219,219,219,219,219,219,219,219,219,"RIDAGEYR"
