"Variable","N_Levels","N_Complete","Reference_Level"
"sample",9662,9662,"51624"
"cycle",2,9662,"F"
"Release_Cycle",2,9662,"2009-2010"
"Gender",2,9662,"Female"
"AgeGroup",6,9662,"14-19"
"age_group",6,9662,"14–19"
"EducationLevel",5,9474,"< 9th Grade"
"Education_Level",5,9474,"< 9th Grade"
"EducationLevel_Simple",5,9474,"< 9th Grade"
"Ethnicity",5,9662,"White"
"BornInUSA",2,9657,"non-US Born"
"US_Born",2,9657,"non-US Born"
"US_Citizen",2,9657,"non-US Born"
"PIRcat",4,8857,"<1"
"Household_Size_Factor",7,9662,"1"
"Marital_Status",6,7999,"Divorced"
"Interview_Language",2,9662,"English"
"Interview_Proxy",2,9662,"No"
"Interview_Interpreter",2,9662,"No"
"HH_Reference_Gender",2,9662,"Female"
"HH_Reference_Education_Level",5,9325,"9-11th Grade"
"HH_Reference_Marital_Status",6,9459,"Divorced"
"Annual_Household_Income",14,9212,"$0 to $4,999"
"Annual_Family_Income",14,9253,"$0 to $4,999"
"AgeQuartile",3,9662,"Q2: 25–50%"
"PIRQuartile",5,9662,"Missing"
"Age_group",6,9662,"30-39"
"Education_level",5,9474,"College/AA"
"US_born",2,9657,"US Born"
"Household_size",7,9662,"4"
"Marital_status",6,7999,"Married"
"Interview_language",2,9662,"English"
"Income_to_poverty_ratio",7,8857,"150-184%"
"Denture",2,4403,"control"
"Gum_disease",2,6520,"control"
"Oral_hygiene",2,6741,"control"
"Tooth_decay",2,6318,"control"
"Smoking_status",3,8000,"Never smoker"
"Hepatitis_C_antibody",2,9098,"Negative"
"HPV_PCR_summary",2,0,"Negative"
"BMI_category",5,9587,"Healthy weight"
"Blood_pressure",5,9342,"Normal"
"Pulse_category",5,9355,"70-75 bpm"
"Asthma",2,6864,"control"
"Bronchitis",2,5737,"control"
"Emphysema",2,5447,"control"
"Angina",2,5459,"control"
"Heart_failure",2,5513,"control"
"Heart_attack",2,5538,"control"
"Stroke",2,5504,"control"
"Diabetes",2,6310,"control"
